,filename,name,gender,age,emotion,emotionCat
0,RehM_02280_f_25_o_fr_nc_no_2015_1_e0_nl_o.jpg,RehM,f,25,no,1
1,HedA_00835_m_46_o_fr_nc_no_2016_1_e0_nl_o.jpg,HedA,m,46,no,1
2,HedA_00831_m_45_o_fr_nc_no_2015_1_e0_nl_o.jpg,HedA,m,45,no,1
3,HedA_00834_m_45_o_fr_nc_no_2015_1_e0_nl_o.jpg,HedA,m,45,no,1
4,ZenH_02662_f_24_o_nf_nc_no_2014_1_e0_nl_o.jpg,ZenH,f,24,no,1
5,RehM_02283_f_25_o_nf_nc_hp_2015_1_e0_nl_o.jpg,RehM,f,25,hp,0
6,AhmN_00345_m_27_o_fr_nc_no_2010_1_e0_nl_o.jpg,AhmN,m,27,no,1
7,RehM_02293_f_25_o_nf_nc_hp_2015_1_e0_nl_o.jpg,RehM,f,25,hp,0
8,MahA_00988_m_26_o_nf_nc_no_2014_1_e0_nl_o.jpg,MahA,m,26,no,1
9,EbrK_00755_m_25_i_fr_nc_hp_2015_1_e0_nl_o.jpg,EbrK,m,25,hp,0
10,MahA_00888_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
11,JakN_00861_f_22_o_nf_nc_hp_2016_1_e0_nl_o.jpg,JakN,f,22,hp,0
12,MahA_00885_m_28_i_fr_nc_hp_2016_2_e0_nl_o.jpg,MahA,m,28,hp,0
13,MahA_00894_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
14,MahA_00886_m_28_i_fr_nc_hp_2016_2_e0_nl_o.jpg,MahA,m,28,hp,0
15,MahA_00895_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
16,HedA_00828_m_45_o_nf_nc_no_2015_1_e0_nl_o.jpg,HedA,m,45,no,1
17,MahA_00887_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
18,MahA_00891_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
19,MahA_00892_m_28_i_fr_nc_sr_2016_2_e0_nl_o.jpg,MahA,m,28,sr,3
20,MahA_00897_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
21,MahA_00889_m_28_i_fr_nc_sr_2016_2_e0_nl_o.jpg,MahA,m,28,sr,3
22,MahA_00896_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
23,MahA_00890_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
24,MahA_00898_m_28_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MahA,m,28,sd,2
25,EbrK_00754_m_25_o_nf_nc_hp_2015_1_e0_nl_o.jpg,EbrK,m,25,hp,0
26,MahA_00893_m_28_i_fr_nc_sr_2016_2_e0_nl_o.jpg,MahA,m,28,sr,3
27,AhmN_00344_m_27_i_fr_nc_no_2010_1_e0_nl_o.jpg,AhmN,m,27,no,1
28,MarH_01299_f_31_o_nf_nc_hp_2016_1_e0_nl_o.jpg,MarH,f,31,hp,0
29,RehM_02291_f_26_o_fr_nc_no_2016_1_e0_nl_o.jpg,RehM,f,26,no,1
30,YosB_02535_f_20_i_fr_nc_no_2016_2_e0_nl_o.jpg,YosB,f,20,no,1
31,HedA_00827_m_45_o_nf_nc_no_2015_1_e0_nl_o.jpg,HedA,m,45,no,1
32,AheG_00293_m_31_o_fr_nc_no_2016_1_e0_nl_o.jpg,AheG,m,31,no,1
33,KhaS_00877_m_34_o_fr_nc_hp_2015_1_e0_nl_o.jpg,KhaS,m,34,hp,0
34,MarH_01301_f_31_o_nf_nc_hp_2016_1_e0_nl_o.jpg,MarH,f,31,hp,0
35,YosB_02544_f_20_i_fr_nc_no_2016_2_e0_nl_o.jpg,YosB,f,20,no,1
36,BahA_00634_m_36_i_fr_nc_no_2016_2_e0_nl_o.jpg,BahA,m,36,no,1
37,RehM_02298_f_25_o_nf_nc_hp_2015_1_e0_nl_o.jpg,RehM,f,25,hp,0
38,BahA_00664_m_36_i_fr_nc_hp_2016_2_e0_nl_o.jpg,BahA,m,36,hp,0
39,YosB_02532_f_20_i_fr_nc_hp_2016_2_e0_nl_o.jpg,YosB,f,20,hp,0
40,BahA_00688_m_36_i_fr_nc_hp_2016_2_e0_nl_o.jpg,BahA,m,36,hp,0
41,YosB_02585_f_20_i_fr_nc_sr_2016_2_e0_nl_o.jpg,YosB,f,20,sr,3
42,OliA_02172_f_20_i_fr_nc_hp_2016_2_e0_nl_o.jpg,OliA,f,20,hp,0
43,OliA_02162_f_20_i_fr_nc_hp_2016_2_e0_nl_o.jpg,OliA,f,20,hp,0
44,OliA_02200_f_20_i_fr_nc_sd_2016_2_e0_nl_o.jpg,OliA,f,20,sd,2
45,YosB_02545_f_20_i_fr_nc_no_2016_2_e0_nl_o.jpg,YosB,f,20,no,1
46,MerM_01420_f_20_i_fr_nc_sd_2016_2_e0_nl_o.jpg,MerM,f,20,sd,2
47,BahA_00640_m_36_i_fr_nc_no_2016_2_e0_nl_o.jpg,BahA,m,36,no,1
48,YosB_02569_f_20_i_fr_nc_hp_2016_2_e0_nl_o.jpg,YosB,f,20,hp,0
